skeleton,total_copes,total_clads,total_amphs,total_zoops,num_images,zoops_p_image
20231024DSCT3OW2,247,506,11,764,520,1.469230769
20231024DSCT4OW,36,101,0,137,521,0.262955854
20231024DSCT4OW2,24,113,1,138,481,0.286902287
20231024EMC1NS,51,105,2,158,296,0.533783784
20231024EMC1OW,19,85,2,106,405,0.261728395
20231024EMC2NS,24,130,14,168,263,0.63878327
20231024EMC2OW,1,16,1,18,317,0.056782334
20231024EMC3NS,76,140,7,223,793,0.281210593
20231024EMC3OW,4,40,0,44,666,0.066066066
20231024EMC4NS,184,224,4,412,693,0.594516595
20231024EMC4OW,6,75,0,81,883,0.091732729
20231024GBC1NS,140,473,23,636,919,0.692056583
20231024GBC1OW,28,127,1,156,529,0.29489603
20231024GBC2NS,64,373,6,443,594,0.745791246
20231024GBC2OW,16,66,0,82,415,0.197590361
20220502DBNS1,0,0,0,0,12,0
20220502DBNS2,50,16,6,72,537,0.134078212
20220502DBNS3,7,6,22,35,469,0.074626866
20220502DBOW1,128,34,0,162,515,0.314563107
20220502DBOW2,25,4,3,32,542,0.05904059
20220502DBOW3,135,33,0,168,623,0.269662921
20220502DSCT1NS,16,6,5,27,505,0.053465347
20220502DSCT1OW,20,14,3,37,442,0.083710407
20220502DSCT2NS,15,3,2,20,540,0.037037037
20220502DSCT2NS2,37,7,1,45,442,0.101809955
20220502DSCT2OW,28,18,3,49,517,0.094777563
20220502DSCT3OW,14,5,5,24,527,0.045540797
20220502DSCT3OW2,14,0,31,45,322,0.139751553
20220502DSCT4OW2,23,77,14,114,510,0.223529412
20220502GBC1NS,83,120,11,214,384,0.557291667
20220502GBC1OW,27,125,0,152,513,0.296296296
20220502GBC2NS,161,188,28,377,833,0.452581032
20220502GBC2OW,57,193,0,250,767,0.325945241
20220713DBNS1,7,9,2,18,420,0.042857143
20220713DBNS2,22,8,1,31,430,0.072093023
20220713DBNS3,10,17,1,28,447,0.062639821
20220713DBOW1,0,4,0,4,235,0.017021277
20220713DBOW2,13,18,4,35,276,0.126811594
20220713DBOW3,1,6,1,8,430,0.018604651
20220713DSCT1NS,2,8,0,10,80,0.125
20220713DSCT2NS,37,21,0,58,416,0.139423077
20220713DSCT2NS2,42,36,2,80,382,0.209424084
20220713DSCT2OW,22,60,4,86,588,0.146258503
20220713DSCT3OW,15,48,5,68,399,0.170426065
20220713DSCT3OW2,53,214,35,302,665,0.454135338
20220713DSCT4OW,20,8,4,32,527,0.060721063
20220713DSCT4OW2,5,23,4,32,173,0.184971098
20220713EMC1NS,29,28,13,70,457,0.153172867
20220713EMC1OW,35,65,4,104,391,0.265984655
20220713EMC2NS,33,64,8,105,288,0.364583333
20220713EMC2OW,1,35,0,36,410,0.087804878
20220713EMC3NS,50,49,13,112,496,0.225806452
20220713EMC3OW,20,193,3,216,591,0.365482234
20220713EMC4NS,84,127,9,220,880,0.25
20220713EMC4OW,28,444,7,479,1068,0.448501873
20220713GBC1NS,148,363,59,570,573,0.994764398
20220713GBC1OW,21,222,14,257,623,0.412520064
20220713GBC2NS,70,304,43,417,501,0.832335329
20220713GBC2OW,31,242,16,289,692,0.417630058
20220810DBNS1,133,68,3,204,457,0.446389497
20220810DBNS2,121,92,10,223,464,0.480603448
20220810DBNS3,172,103,5,280,491,0.570264766
20220810DBOW1,50,73,0,123,489,0.251533742
20220810DBOW2,39,42,0,81,465,0.174193548
20220810DBOW3,53,83,1,137,462,0.296536797
20220810DSCT1NS,32,167,2,201,426,0.471830986
20220810DSCT1OW,30,16,1,47,390,0.120512821
20220810DSCT2NS,46,10,0,56,489,0.114519427
20220810DSCT2NS2,88,8,2,98,482,0.203319502
20220810DSCT2OW,182,17,0,199,875,0.227428571
20220810DSCT3OW,22,12,1,35,434,0.080645161
20220810DSCT3OW2,25,20,5,50,433,0.115473441
20220810DSCT4OW,111,11,0,122,466,0.261802575
20220810DSCT4OW2,66,6,1,73,403,0.181141439
20220810GBC1NS,48,120,18,186,599,0.310517529
20220810GBC1OW,18,127,19,164,666,0.246246246
20220810GBC2NS,151,240,48,439,505,0.869306931
20220810GBC2OW,10,151,4,165,681,0.242290749
20220812EMC1NS,219,171,33,423,461,0.917570499
20220812EMC1OW,1,30,1,32,354,0.09039548
20220812EMC2NS,144,207,38,389,447,0.870246085
20220812EMC2OW,5,25,0,30,598,0.050167224
20220812EMC3NS,207,221,25,453,1157,0.391529818
20220812EMC3OW,6,60,1,67,814,0.082309582
20220812EMC4NS,278,318,90,686,1491,0.460093897
20220812EMC4OW,12,158,2,172,1074,0.160148976
20220825DBNS1,141,232,10,383,499,0.76753507
20220825DBNS2,97,236,5,338,438,0.771689498
20220825DBNS3,44,170,35,249,450,0.553333333
20220825DBOW1,16,116,0,132,479,0.275574113
20220825DBOW2,107,247,1,355,459,0.773420479
20220825DBOW3,21,153,0,174,524,0.332061069
20220825DSCT1NS,12,101,5,118,403,0.29280397
20220825DSCT1OW,34,89,3,126,537,0.234636872
20220825DSCT2NS,27,18,6,51,418,0.122009569
20220825DSCT2NS2,40,28,1,69,418,0.16507177
20220825DSCT2OW,45,31,2,78,654,0.119266055
20220825DSCT3OW,20,19,1,40,460,0.086956522
20220825DSCT3OW2,12,24,3,39,457,0.085339168
20220825DSCT4OW,27,10,4,41,602,0.068106312
20220825DSCT4OW2,14,12,6,32,425,0.075294118
20220825EMC1NS,84,52,5,141,356,0.396067416
20220825EMC1OW,8,30,4,42,480,0.0875
20220825EMC2NS,56,102,13,171,322,0.531055901
20220825EMC2OW,12,55,5,72,489,0.147239264
20220825EMC3NS,117,199,31,347,713,0.486676017
20220825EMC3OW,20,136,9,165,764,0.215968586
20220825EMC4NS,50,129,35,214,683,0.313323572
20220825EMC4OW,22,204,2,228,968,0.23553719
20220825GBC1NS,155,359,32,546,577,0.94627383
20220825GBC1OW,14,53,3,70,466,0.150214592
20220825GBC2OW,41,329,16,386,860,0.448837209
20220908DBNS1,110,38,38,186,446,0.417040359
20220908DBNS2,97,46,35,178,517,0.344294004
20220908DBNS3,114,30,38,182,468,0.388888889
20220908DBOW1,84,4,0,88,482,0.182572614
20220908DBOW2,114,12,0,126,439,0.287015945
20220908DBOW3,748,29,0,777,452,1.719026549
20220908DSCT1NS,30,40,11,81,421,0.19239905
20220908DSCT1OW,26,6,17,49,431,0.113689095
20220908DSCT2NS,5,5,9,19,437,0.043478261
20220908DSCT2NS2,21,3,2,26,426,0.061032864
20220908DSCT2OW,56,22,6,84,655,0.128244275
20220908DSCT3OW,10,3,0,13,445,0.029213483
20220908DSCT3OW2,13,1,22,36,361,0.099722992
20220908DSCT4OW,15,1,2,18,436,0.041284404
20220908DSCT4OW2,10,0,2,12,385,0.031168831
20220908EMC1NS,19,5,28,52,347,0.149855908
20220908EMC1OW,9,0,1,10,475,0.021052632
20220908EMC2NS,16,2,21,39,259,0.150579151
20220908EMC2OW,27,4,1,32,546,0.058608059
20220908EMC3NS,71,27,50,148,623,0.237560193
20220908EMC3OW,46,22,13,81,668,0.121257485
20220908EMC4NS,70,20,63,153,653,0.234303216
20220908EMC4OW,90,62,7,159,1010,0.157425743
20220908GBC1NS,123,19,66,208,457,0.455142232
20220908GBC1OW,31,4,2,37,497,0.07444668
20220908GBC2NS,120,8,31,159,535,0.297196262
20220908GBC2OW,117,25,24,166,561,0.295900178
20220922DBNS1,151,311,48,510,430,1.186046512
20220922DBNS2,141,232,23,396,439,0.902050114
20220922DBNS3,149,158,17,324,599,0.540901503
20220922DBOW1,31,283,1,315,530,0.594339623
20220922DBOW2,67,447,0,514,438,1.173515982
20220922DBOW3,27,286,0,313,451,0.694013304
20220922DSCT1NS,33,92,28,153,419,0.365155131
20220922DSCT1OW,10,63,6,79,445,0.17752809
20220922DSCT2NS,44,7,10,61,425,0.143529412
20220922DSCT2NS2,88,36,9,133,452,0.294247788
20220922DSCT2OW,96,27,15,138,853,0.161781946
20220922DSCT3OW,59,49,2,110,447,0.246085011
20220922DSCT3OW2,23,41,2,66,447,0.147651007
20220922DSCT4OW,41,19,5,65,429,0.151515152
20220922DSCT4OW2,24,20,5,49,468,0.104700855
20220922EMC1NS,83,85,12,180,342,0.526315789
20220922EMC1OW,14,48,12,74,514,0.143968872
20220922EMC2NS,63,128,25,216,298,0.724832215
20220922EMC2OW,10,30,4,44,486,0.090534979
20220922EMC3NS,115,163,50,328,527,0.622390892
20220922EMC3OW,10,78,3,91,588,0.154761905
20220922EMC4NS,71,221,55,347,685,0.506569343
20220922GBC1NS,129,233,61,423,483,0.875776398
20220922GBC1OW,2,21,5,28,591,0.047377327
20220922GBC2NS,53,163,62,278,498,0.558232932
20220922GBC2OW,5,127,1,133,677,0.196454948
20221006DBNS1,254,26,10,290,555,0.522522523
20221006DBNS2,209,31,12,252,324,0.777777778
20221006DBNS3,165,33,5,203,608,0.333881579
20221006DBOW1,206,16,1,223,493,0.452332657
20221006DBOW2,622,102,2,726,449,1.616926503
20221006DBOW3,408,45,2,455,438,1.038812785
20221006DSCT1NS,42,12,15,69,460,0.15
20221006DSCT1OW,75,14,8,97,552,0.175724638
20221006DSCT2NS,33,9,10,52,496,0.10483871
20221006DSCT2NS2,39,6,0,45,515,0.087378641
20221006DSCT2OW,86,18,2,106,998,0.106212425
20221006DSCT3OW,32,3,0,35,321,0.109034268
20221006DSCT3OW2,5,1,2,8,284,0.028169014
20221006DSCT4OW,32,5,0,37,497,0.07444668
20221006DSCT4OW2,34,2,0,36,611,0.058919804
20221006EMC1NS,629,22,22,673,518,1.299227799
20221006EMC1OW,23,1,0,24,541,0.044362292
20221006EMC2NS,183,17,19,219,426,0.514084507
20221006EMC2OW,48,2,2,52,596,0.087248322
20221006EMC3NS,258,32,34,324,770,0.420779221
20221006EMC3OW,48,3,1,52,694,0.074927954
20221006EMC4NS,289,6,9,304,819,0.371184371
20221006GBC1NS,392,61,89,542,688,0.787790698
20221006GBC1OW,41,1,0,42,450,0.093333333
20221006GBC2NS,159,9,14,182,635,0.286614173
20221024DBNS1,114,44,0,158,482,0.32780083
20221024DBNS2,740,276,5,1021,485,2.105154639
20221024DBNS3,149,127,11,287,480,0.597916667
20221024DBOW1,80,14,0,94,484,0.194214876
20221024DBOW2,395,77,0,472,498,0.947791165
20221024DBOW3,172,55,0,227,489,0.464212679
20221024DSCT1NS,100,43,12,155,463,0.334773218
20221024DSCT1OW,65,11,4,80,456,0.175438596
20221024DSCT2NS,12,6,3,21,462,0.045454545
20221024DSCT2NS2,17,7,3,27,457,0.059080963
20221024DSCT2OW,47,38,0,85,1247,0.068163593
20221024DSCT3OW,44,7,7,58,469,0.123667377
20221024DSCT3OW2,54,12,6,72,405,0.177777778
20221024DSCT4OW,28,16,3,47,472,0.099576271
20221024DSCT4OW2,80,35,2,117,463,0.252699784
20221024GBC1NS,87,18,14,119,455,0.261538462
20221024GBC1OW,23,1,1,25,448,0.055803571
20221024GBC2NS,192,113,52,357,586,0.609215017
20221024GBC2OW,77,16,13,106,450,0.235555556
